symbol,name,price,marketCap,volume,industry
LIN,Linde plc Ordinary Shares,514.51,238012088811.0,1655675,Basic Materials
SCCO,Southern Copper Corporation Common Stock,179.12,147964770144.0,1350016,Basic Materials
NEM,Newmont Corporation,108.33,115647990924.0,5300544,Basic Materials
FCX,Freeport-McMoRan Inc. Common Stock,62.31,89574355188.0,10184458,Basic Materials
APD,Air Products and Chemicals Inc. Common Stock,290.19,64619708270.0,1272959,Basic Materials
SOMN,Southern Company (The) 2025 Series A Corporate Units,51.31,57894090221.0,37930,Basic Materials
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060,16.92,18520052270.0,51434,Basic Materials
CDE,Coeur Mining Inc. Common Stock,17.83,18445326958.0,13324980,Basic Materials
IP,International Paper Company Common Stock,31.5,16679784681.0,6171055,Basic Materials
MP,MP Materials Corp. Common Stock,61.74,10991090505.0,10528165,Basic Materials
CLF,Cleveland-Cliffs Inc. Common Stock,10.7,6103436830.0,17660871,Basic Materials
USAR,USA Rare Earth Inc. Class A Common Stock,24.29,5417529040.0,17768233,Basic Materials
LPX,Louisiana-Pacific Corporation Common Stock,70.14,4900322683.0,1542903,Basic Materials
UFPI,UFP Industries Inc. Common Stock,80.58,4576935539.0,445866,Basic Materials
FBIN,Fortune Brands Innovations Inc. Common Stock,36.31,4331543971.0,3832127,Basic Materials
TREX,Trex Company Inc. Common Stock,38.87,4038543596.0,1381324,Basic Materials
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,33.29,3041394407.0,2192254,Basic Materials
MTX,Minerals Technologies Inc. Common Stock,75.4,2338058544.0,174765,Basic Materials
SLVM,Sylvamo Corporation Common Stock,38.17,1516728311.0,391794,Basic Materials
IPX,IperionX Limited American Depositary Share,36.15,1226873413.0,201272,Basic Materials
LXU,LSB Industries Inc. Common Stock,12.97,933046820.0,896857,Basic Materials
KRO,Kronos Worldwide Inc Common Stock,6.8,782361189.0,265087,Basic Materials
NB,NioCorp Developments Ltd. Common Stock,5.32,774523095.0,4249605,Basic Materials
KOP,Koppers Holdings Inc. Common Stock,39.63,762157264.0,150858,Basic Materials
DC,Dakota Gold Corp. Common Stock,5.37,719193881.0,838819,Basic Materials
CTGO,Contango Silver & Gold Inc. Common Stock,21.4,658503915.0,271474,Basic Materials
IDR,Idaho Strategic Resources Inc. Common Stock,37.35,590498234.0,298731,Basic Materials
RYAM,Rayonier Advanced Materials Inc. Common Stock,8.61,580645907.0,861540,Basic Materials
AMWD,American Woodmark Corporation Common Stock,38.43,559909536.0,340784,Basic Materials
MATV,Mativ Holdings Inc. Common Stock,8.57,472356358.0,334110,Basic Materials
ABAT,American Battery Technology Company Common Stock,3.21,437890253.0,5294395,Basic Materials
MAGN,Magnera Corporation Common Stock,10.56,378048000.0,309697,Basic Materials
VHI,Valhi Inc. Common Stock,12.66,358307029.0,34416,Basic Materials
NL,NL Industries Inc. Common Stock,6.95,339596001.0,116054,Basic Materials
NUCL,Eagle Nuclear Energy Corp. Common stock,11.25,332767271.0,731959,Basic Materials
VGZ,Vista Gold Corp Common Stock,2.21,322596675.0,857409,Basic Materials
EU,enCore Energy Corp. Common Shares,1.47,285522516.0,2345147,Basic Materials
USAU,U.S. Gold Corp. Common Stock,15.24,251477724.0,144858,Basic Materials
NIOBW,NioCorp Developments Ltd. Warrant,1.72,250409723.0,4602,Basic Materials
CLW,Clearwater Paper Corporation Common Stock,14.23,229462350.0,177728,Basic Materials
GORO,Gold Resource Corporation Common Stock,1.29,208828953.0,802844,Basic Materials
USGO,U.S. GoldMining Inc. Common stock,10.85,144895457.0,38542,Basic Materials
JELD,JELD-WEN Holding Inc. Common Stock,1.6,137842114.0,1255864,Basic Materials
PZG,Paramount Gold Nevada Corp. Common Stock,1.35,115808914.0,197379,Basic Materials
XPL,Solitario Resources Corp. Common Stock,0.84,78176905.0,384159,Basic Materials
WWR,Westwater Resources Inc. Common Stock,0.5711,72603202.0,730050,Basic Materials
NUCLW,Eagle Nuclear Energy Corp. Warrants,1.85,54721729.0,783042,Basic Materials
USGOW,U.S. GoldMining Inc. Warrant,0.07,934809.0,346751,Basic Materials
SOJF,Southern Company (The) Series 2025A 6.50% Junior Subordinated Notes due March 15 2085,25.15,0.0,50151,Basic Materials
