symbol,name,price,marketCap,volume,industry
KO,Coca-Cola Company (The) Common Stock,73.55,316383330550.0,13237174,Consumer Staples
PEP,PepsiCo Inc. Common Stock,148.78,203432863351.0,7113870,Consumer Staples
CVS,CVS Health Corporation Common Stock,72.0,91399138920.0,44170010,Consumer Staples
MNST,Monster Beverage Corporation,81.41,79539297195.0,4493796,Consumer Staples
MDLZ,Mondelez International Inc. Class A Common Stock,59.02,76156958198.0,10450559,Consumer Staples
CTVA,Corteva Inc. Common Stock ,73.0,49328436000.0,4475272,Consumer Staples
KR,Kroger Company (The) Common Stock,62.11,39306261328.0,7518566,Consumer Staples
HSY,The Hershey Company Common Stock,191.63,38859712929.0,1258102,Consumer Staples
KDP,Keurig Dr Pepper Inc. Common Stock,27.59,37483308419.0,9154622,Consumer Staples
ADM,Archer-Daniels-Midland Company Common Stock,68.23,32789273019.0,2566889,Consumer Staples
KHC,The Kraft Heinz Company Common Stock,23.7,28054633070.0,19463293,Consumer Staples
STZ,Constellation Brands Inc. Common Stock,161.25,27958270781.0,2235939,Consumer Staples
GIS,General Mills Inc. Common Stock,44.71,23856454842.0,6788059,Consumer Staples
TSN,Tyson Foods Inc. Common Stock,65.75,23213306418.0,3550454,Consumer Staples
BG,Bunge Limited Common Shares,116.15,22458885609.0,1365301,Consumer Staples
MKC,McCormick & Company Incorporated Common Stock,63.41,17021668735.0,6231777,Consumer Staples
CELH,Celsius Holdings Inc. Common Stock,55.51,14309661836.0,2834459,Consumer Staples
HRL,Hormel Foods Corporation Common Stock,25.2,13862703834.0,4313280,Consumer Staples
COKE,Coca-Cola Consolidated Inc. Common Stock,150.5,12860140118.0,221565,Consumer Staples
SJM,The J.M. Smucker Company Common Stock,105.25,11229577917.0,1469874,Consumer Staples
PPC,Pilgrim's Pride Corporation Common Stock,43.27,10278678032.0,923115,Consumer Staples
SFD,Smithfield Foods Inc. Common Stock,23.78,9348220268.0,759549,Consumer Staples
CAG,ConAgra Brands Inc. Common Stock,17.95,8586732076.0,14825567,Consumer Staples
ACI,Albertsons Companies Inc. Class A Common Stock,16.66,8561792596.0,9597734,Consumer Staples
CPB,The Campbell's Company Common Stock,27.37,8159934286.0,6152694,Consumer Staples
INGR,Ingredion Incorporated Common Stock,116.99,7432390728.0,494412,Consumer Staples
PRMB,Primo Brands Corporation Class A Common Stock,19.04,6961619647.0,3435868,Consumer Staples
DAR,Darling Ingredients Inc. Common Stock,44.0,6960187608.0,2735360,Consumer Staples
SFM,Sprouts Farmers Market Inc. Common Stock,70.89,6902519531.0,2948773,Consumer Staples
LW,Lamb Weston Holdings Inc. Common Stock ,45.05,6256538774.0,2658842,Consumer Staples
POST,Post Holdings Inc. Common Stock,98.03,5112734848.0,1061786,Consumer Staples
MZTI,The Marzetti Company Common Stock,167.64,4607753040.0,184328,Consumer Staples
CALM,Cal-Maine Foods Inc. Common Stock,83.49,3978636301.0,1734426,Consumer Staples
FRPT,Freshpet Inc. Common Stock,72.0,3514200264.0,701872,Consumer Staples
COCO,The Vita Coco Company Inc. Common Stock,54.98,3131015225.0,724823,Consumer Staples
FIZZ,National Beverage Corp. Common Stock,33.4,3127312207.0,161386,Consumer Staples
BRBR,BellRing Brands Inc. Common Stock ,26.07,3119851126.0,3909401,Consumer Staples
TR,Tootsie Roll Industries Inc. Common Stock,37.48,2735538892.0,105696,Consumer Staples
FLO,Flowers Foods Inc. Common Stock,11.13,2350413644.0,3182784,Consumer Staples
SAM,Boston Beer Company Inc. (The) Common Stock,219.18,2336101098.0,104403,Consumer Staples
KN,Knowles Corporation Common Stock,24.23,2063230149.0,379362,Consumer Staples
GRDN,Guardian Pharmacy Services Inc. Class A Common Stock,29.71,1881256036.0,270731,Consumer Staples
SMPL,The Simply Good Foods Company Common Stock,19.6,1814474998.0,2062350,Consumer Staples
JJSF,J & J Snack Foods Corp. Common Stock,94.21,1792660948.0,148335,Consumer Staples
SONO,Sonos Inc. Common Stock,14.74,1781662964.0,1329227,Consumer Staples
WMK,Weis Markets Inc. Common Stock,69.87,1728904992.0,77862,Consumer Staples
UTZ,Utz Brands Inc Class A Common Stock ,10.48,1497159952.0,2264323,Consumer Staples
ARLO,Arlo Technologies Inc. Common Stock,13.2,1399097938.0,993019,Consumer Staples
IMKTA,Ingles Markets Incorporated Class A Common Stock,72.25,1372343666.0,74130,Consumer Staples
VITL,Vital Farms Inc. Common Stock,27.8,1244731656.0,1334363,Consumer Staples
THS,Treehouse Foods Inc. Common Stock,24.57,1240785000.0,407016,Consumer Staples
GO,Grocery Outlet Holding Corp. Common Stock,10.0,981372300.0,1958762,Consumer Staples
AVO,Mission Produce Inc. Common Stock,13.46,949865699.0,758274,Consumer Staples
JBSS,John B. Sanfilippo & Son Inc. Common Stock,74.41,866449312.0,34777,Consumer Staples
SENEB,Seneca Foods Corp. Class B Common Stock,118.0,807680382.0,277,Consumer Staples
SENEA,Seneca Foods Corp. Class A Common Stock,116.49,797344811.0,44244,Consumer Staples
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,26.87,618899209.0,212723,Consumer Staples
MAMA,Mama's Creations Inc. Common Stock,14.84,603295462.0,354100,Consumer Staples
ARKO,ARKO Corp. Common Stock,5.23,582782969.0,262612,Consumer Staples
DNUT,Krispy Kreme Inc. Common Stock,3.36,575568000.0,2293490,Consumer Staples
MGPI,MGP Ingredients Inc.,24.9,530228444.0,143880,Consumer Staples
VLGEA,Village Super Market Inc. Class A Common Stock,34.83,513863360.0,35347,Consumer Staples
WEST,Westrock Coffee Company Common Stock,4.6,445394586.0,243344,Consumer Staples
BYND,Beyond Meat Inc. Common Stock,0.8501,385676120.0,31560279,Consumer Staples
BGS,B&G Foods Inc. Common Stock,4.47,357497414.0,1365805,Consumer Staples
LWAY,Lifeway Foods Inc. Common Stock,22.02,335337361.0,34751,Consumer Staples
WEYS,Weyco Group Inc. Common Stock,30.5,291225834.0,7622,Consumer Staples
LMNR,Limoneira Co Common Stock,14.08,255117167.0,55360,Consumer Staples
BRCC,BRC Inc. Class A Common Stock,0.8804,218779294.0,1026992,Consumer Staples
ZVIA,Zevia PBC Class A Common Stock,2.06,154508217.0,1535376,Consumer Staples
MED,MEDIFAST INC Common Stock,11.46,125959989.0,332101,Consumer Staples
HAIN,Hain Celestial Group Inc. (The) Common Stock,1.28,115926039.0,2696431,Consumer Staples
GNSS,Genasys Inc. Common Stock,2.04,92194864.0,117928,Consumer Staples
BRID,Bridgford Foods Corporation Common Stock,7.78,70617753.0,1623,Consumer Staples
PETS,PetMed Express Inc. Common Stock,3.24,69237248.0,242054,Consumer Staples
UEIC,Universal Electronics Inc. Common Stock,4.02,53731746.0,24948,Consumer Staples
BRFH,Barfresh Food Group Inc. Common Stock,3.25,51900163.0,9235,Consumer Staples
RYM,RYTHM Inc. Common Stock,19.98,42939577.0,63051,Consumer Staples
KOSS,Koss Corporation Common Stock,4.39,41513763.0,12555,Consumer Staples
BOF,BranchOut Food Inc. Common Stock,3.13,38642539.0,76114,Consumer Staples
FARM,Farmer Brothers Company Common Stock,1.69,36507400.0,37705,Consumer Staples
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,2.41,22492101.0,184142,Consumer Staples
JVA,Coffee Holding Co. Inc. Common Stock,3.82,21806848.0,27541,Consumer Staples
YHC,LQR House Inc. Common Stock,0.9002,19238765.0,121273,Consumer Staples
WVVIP,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock,3.05,15141813.0,2625,Consumer Staples
IPST,Heritage Distilling Holding Company Inc. Common Stock,1.54,14721354.0,52382,Consumer Staples
WVVI,Willamette Valley Vineyards Inc. Common Stock,2.8,13900681.0,5553,Consumer Staples
SOWG,Sow Good Inc. Common Stock,0.6967,8516181.0,53531,Consumer Staples
MSN,Emerson Radio Corporation Common Stock,0.3893,8191904.0,12023,Consumer Staples
LDWY,Lendway Inc. Common Stock (DE),4.32,7659874.0,51624,Consumer Staples
MSS,Maison Solutions Inc. Class A Common Stock,0.275,6938154.0,153331,Consumer Staples
AQB,AquaBounty Technologies Inc. Common Stock,1.01,3916472.0,51964,Consumer Staples
RKDA,Arcadia Biosciences Inc. Common Stock,2.23,3062058.0,15685,Consumer Staples
EDBL,Edible Garden AG Incorporated Common Stock,0.5127,2628436.0,116281,Consumer Staples
RIME,Algorhythm Holdings Inc. Common Stock,0.9492,2583512.0,174796,Consumer Staples
EDBLW,Edible Garden AG Incorporated Warrant,0.2257,1157086.0,17679,Consumer Staples
