symbol,name,price,marketCap,volume,industry
XOM,Exxon Mobil Corporation Common Stock,149.165,621535270467.0,7965688,Energy
CVX,Chevron Corporation Common Stock,184.105,370699393616.0,4418863,Energy
COP,ConocoPhillips Common Stock,110.12,134603987418.0,2911703,Energy
EOG,EOG Resources Inc. Common Stock,123.34,69073174533.0,4560439,Energy
VLO,Valero Energy Corporation Common Stock,198.6146,60579347585.0,1313802,Energy
PSX,Phillips 66 Common Stock,151.09,60548414284.0,1640597,Energy
MPLX,MPLX LP Common Units Representing Limited Partner Interests,58.52,59518652695.0,973109,Energy
MPC,Marathon Petroleum Corporation Common Stock,193.765,58246239343.0,991133,Energy
OXY,Occidental Petroleum Corporation Common Stock,50.805,50107277458.0,5745396,Energy
BE,Bloom Energy Corporation Class A Common Stock,177.38,49763642377.0,9076652,Energy
FANG,Diamondback Energy Inc. Common Stock,166.6025,47735883606.0,1552333,Energy
EQT,EQT Corporation Common Stock,59.25,36988234500.0,4244714,Energy
TPL,Texas Pacific Land Corporation Common Stock,511.16,35240164743.0,504172,Energy
HAL,Halliburton Company Common Stock,34.955,29276502399.0,6351121,Energy
DVN,Devon Energy Corporation Common Stock,42.615,26421300000.0,4076080,Energy
EXE,Expand Energy Corporation Common Stock,105.68,25405288117.0,1872978,Energy
WWD,Woodward Inc. Common Stock,395.99,23607287965.0,283358,Energy
CTRA,Coterra Energy Inc. Common Stock,30.035,22867974774.0,2899919,Energy
VNOM,Viper Energy Inc. Class A Common Stock,45.03,16188692386.0,1520953,Energy
PR,Permian Resources Corporation Class A Common Stock,17.59,14709558732.0,6423331,Energy
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,20.465,14438011863.0,1248769,Energy
SUN,Sunoco LP Common Units representing limited partner interests,61.97,12692864702.0,324608,Energy
AR,Antero Resources Corporation Common Stock,34.265,10571609125.0,1788305,Energy
APA,APA Corporation Common Stock,28.005,9932512374.0,3625036,Energy
LFUS,Littelfuse Inc. Common Stock,374.1801,9394791594.0,263076,Energy
RRC,Range Resources Corporation Common Stock,39.055,9253528177.0,4382388,Energy
DINO,HF Sinclair Corporation Common Stock,49.64,9131190286.0,914795,Energy
NE,Noble Corporation plc A Ordinary Shares,45.7,7275321089.0,692943,Energy
POWL,Powell Industries Inc. Common Stock,547.25,6644864372.0,141156,Energy
VAL,Valaris Limited Common Shares,94.68,6554784074.0,501230,Energy
MTDR,Matador Resources Company Common Stock,49.59,6162582624.0,1479357,Energy
CHRD,Chord Energy Corporation Common Stock,104.17,5923658301.0,460747,Energy
CNX,CNX Resources Corporation Common Stock,38.6,5495411362.0,1606929,Energy
CRK,Comstock Resources Inc. Common Stock,18.57,5459983712.0,633285,Energy
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,27.03,5038551612.0,929015,Energy
