symbol,name,price,marketCap,volume,industry
JPM,JP Morgan Chase & Co. Common Stock,297.67,802825627066.0,12933598,Finance
BAC,Bank of America Corporation Common Stock,51.07,372938447739.0,50593570,Finance
GS,Goldman Sachs Group Inc. (The) Common Stock,892.31,267629209650.0,2533076,Finance
WFC,Wells Fargo & Company Common Stock,85.15,267293048751.0,20595039,Finance
MS,Morgan Stanley Common Stock,166.8,264855082361.0,7793919,Finance
AXP,American Express Company Common Stock,321.24,220567882966.0,7086435,Finance
C,Citigroup Inc. Common Stock,110.75,198161227109.0,17985178,Finance
BLK,BlackRock Inc. Common Stock,1071.01,166168175048.0,727162,Finance
SCHW,Charles Schwab Corporation (The) Common Stock,92.75,164810885418.0,11224449,Finance
SPGI,S&P Global Inc. Common Stock,404.78,120948264000.0,2552562,Finance
PGR,Progressive Corporation (The) Common Stock,203.69,119443253001.0,2868989,Finance
COF,Capital One Financial Corporation Common Stock,190.0,118167002670.0,8877263,Finance
CME,CME Group Inc. Class A Common Stock,314.0,113227347158.0,3117789,Finance
ICE,Intercontinental Exchange Inc. Common Stock,154.1,87512852653.0,3639595,Finance
USB,U.S. Bancorp Common Stock,55.81,87121344430.0,9705079,Finance
PNC,PNC Financial Services Group Inc. (The) Common Stock,220.77,86576821227.0,2286931,Finance
MRSH,Marsh Common Stock,176.99,85685151538.0,3073728,Finance
BX,Blackstone Inc. Common Stock,113.71,83969248541.0,18362646,Finance
KKR,KKR & Co. Inc. Common Stock,92.19,82183047553.0,15343038,Finance
BK,The Bank of New York Mellon Corporation Common Stock,115.54,80571717787.0,3464364,Finance
MCO,Moody's Corporation Common Stock,437.11,77499603000.0,1405100,Finance
AON,Aon plc Class A Ordinary Shares (Ireland),315.31,67771238407.0,1425720,Finance
TRV,The Travelers Companies Inc. Common Stock,305.39,66036892892.0,1771146,Finance
APO,Apollo Global Management Inc. (New) Common Stock,113.73,66011459227.0,9437019,Finance
HOOD,Robinhood Markets Inc. Class A Common Stock,71.78,64543777017.0,30343949,Finance
TFC,Truist Financial Corporation Common Stock,50.09,64077447718.0,9734974,Finance
AFL,AFLAC Incorporated Common Stock,112.35,58884198575.0,2191296,Finance
