symbol,name,price,marketCap,volume,industry
LLY,Eli Lilly and Company Common Stock,1023.22,965262179292.0,2143701,Health Care
JNJ,Johnson & Johnson Common Stock,246.91,595028146288.0,7545963,Health Care
ABBV,AbbVie Inc. Common Stock,224.35,396512742189.0,5407415,Health Care
MRK,Merck & Company Inc. Common Stock (new),121.86,302459266237.0,8922619,Health Care
PM,Philip Morris International Inc Common Stock,183.5,285650702747.0,3334129,Health Care
UNH,UnitedHealth Group Incorporated Common Stock (DE),289.93,262629791097.0,4925150,Health Care
AMGN,Amgen Inc. Common Stock,375.5,202199491961.0,2427042,Health Care
ABT,Abbott Laboratories Common Stock,112.19,195084043734.0,6985149,Health Care
GILD,Gilead Sciences Inc. Common Stock,151.12,187491504628.0,7357676,Health Care
ISRG,Intuitive Surgical Inc. Common Stock,499.53,177398207289.0,1433439,Health Care
PFE,Pfizer Inc. Common Stock,26.86,152718104847.0,40297897,Health Care
SYK,Stryker Corporation Common Stock,372.66,142612761626.0,1487460,Health Care
MDT,Medtronic plc. Ordinary Shares,97.58,125098946417.0,9888219,Health Care
BMY,Bristol-Myers Squibb Company Common Stock,60.3,122799364412.0,13324219,Health Care
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,469.27,119210624341.0,1165729,Health Care
HCA,HCA Healthcare Inc. Common Stock,528.66,118220112252.0,814006,Health Care
MCK,McKesson Corporation Common Stock,937.14,114787894516.0,651175,Health Care
MO,Altria Group Inc.,67.99,114132878820.0,7833353,Health Care
BSX,Boston Scientific Corporation Common Stock,75.72,112250511193.0,10979853,Health Care
MMM,3M Company Common Stock,165.05,87678694172.0,3373777,Health Care
REGN,Regeneron Pharmaceuticals Inc. Common Stock,782.38,82713061818.0,504835,Health Care
ELV,Elevance Health Inc. Common Stock,348.18,76844950956.0,1020872,Health Care
CI,The Cigna Group Common Stock,285.92,76376613311.0,830389,Health Care
COR,Cencora Inc. Common Stock,359.11,69857913213.0,711198,Health Care
