symbol,name,price,marketCap,volume,industry
TSLA,Tesla Inc. Common Stock,399.235,1498102183132.0,59145636,Industrials
CAT,Caterpillar Inc. Common Stock,716.68,333462125098.0,3087531,Industrials
RTX,RTX Corporation Common Stock,207.0,277853548932.0,4137665,Industrials
TMO,Thermo Fisher Scientific Inc Common Stock,500.08,185771840740.0,1864190,Industrials
BA,Boeing Company (The) Common Stock,217.76,171125419926.0,9264010,Industrials
DE,Deere & Company Common Stock,592.72,160097988187.0,1092778,Industrials
HON,Honeywell International Inc. Common Stock,240.61,152949930418.0,5088191,Industrials
LMT,Lockheed Martin Corporation Common Stock,651.22,149832853893.0,1651597,Industrials
UNP,Union Pacific Corporation Common Stock,250.21,148472477207.0,2319213,Industrials
DHR,Danaher Corporation Common Stock,195.22,138047745078.0,3189630,Industrials
PH,Parker-Hannifin Corporation Common Stock,950.39,119954926996.0,959815,Industrials
GLW,Corning Incorporated Common Stock,136.22,116869691408.0,16840473,Industrials
NOC,Northrop Grumman Corporation Common Stock,734.98,104309553003.0,642049,Industrials
HWM,Howmet Aerospace Inc. Common Stock,253.91,101802691396.0,1966620,Industrials
GD,General Dynamics Corporation Common Stock,355.59,96147894403.0,972728,Industrials
ADP,Automatic Data Processing Inc. Common Stock,217.37,87522805403.0,3204310,Industrials
UPS,United Parcel Service Inc. Common Stock,100.92,85691344977.0,6246415,Industrials
PWR,Quanta Services Inc. Common Stock,564.05,84392838363.0,1151407,Industrials
ITW,Illinois Tool Works Inc. Common Stock,273.29,78734849000.0,1187087,Industrials
CTAS,Cintas Corporation Common Stock,196.28,78490339717.0,2040628,Industrials
CMI,Cummins Inc. Common Stock,558.71,77194425833.0,1260162,Industrials
CSX,CSX Corporation Common Stock,40.91,76074468647.0,12620535,Industrials
TDG,Transdigm Group Incorporated Common Stock,1268.31,71625984689.0,214120,Industrials
GM,General Motors Company Common Stock,74.93,67734311225.0,8912199,Industrials
LHX,L3Harris Technologies Inc. Common Stock,361.72,67560709852.0,1285419,Industrials
NSC,Norfolk Southern Corporation Common Stock,298.49,67032503742.0,1289008,Industrials
GWW,W.W. Grainger Inc. Common Stock,1106.4,52413513754.0,189810,Industrials
AME,AMETEK Inc.,226.3,51817540813.0,1509665,Industrials
KEYS,Keysight Technologies Inc. Common Stock,285.54,48970822422.0,1463065,Industrials
CARR,Carrier Global Corporation Common Stock ,58.43,48838358025.0,6876724,Industrials
