symbol,name,price,marketCap,volume,industry
IDCC,InterDigital Inc. Common Stock,330.52,8509089327.0,226054,Miscellaneous
QS,QuantumScape Corporation Class A Common Stock,10.36,6229573599.0,11547480,Miscellaneous
DLB,Dolby Laboratories Common Stock,62.05,5926140537.0,895176,Miscellaneous
NOVT,Novanta Inc. Common Stock,137.89,4933031710.0,382420,Miscellaneous
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,17.11,4931829723.0,15792742,Miscellaneous
FLNC,Fluence Energy Inc. Class A Common Stock,26.94,4926481215.0,3843187,Miscellaneous
RUN,Sunrun Inc. Common Stock,19.5,4524815607.0,7996801,Miscellaneous
NATL,NCR Atleos Corporation Common Stock,37.63,2781012638.0,410008,Miscellaneous
DBD,Diebold Nixdorf Incorporated Common stock,70.01,2511059592.0,249341,Miscellaneous
ATKR,Atkore Inc. Common Stock,72.2,2436785089.0,193976,Miscellaneous
NOVTU,Novanta Inc. Tangible Equity Units,61.725,2208219467.0,118590,Miscellaneous
PBI,Pitney Bowes Inc. Common Stock,10.22,1644583636.0,1162041,Miscellaneous
ENVX,Enovix Corporation Common Stock,7.53,1625094510.0,5195155,Miscellaneous
NVRI,Enviri Corporation Common Stock,18.83,1518689607.0,811856,Miscellaneous
SPB,Spectrum Brands Holdings Inc. Common Stock,64.68,1511913046.0,263960,Miscellaneous
AMPX,Amprius Technologies Inc. Common Stock,11.17,1457504470.0,7147145,Miscellaneous
VYX,NCR Voyix Corporation Common Stock,10.45,1447299115.0,965508,Miscellaneous
ENR,Energizer Holdings Inc. Common Stock,19.76,1352171010.0,954406,Miscellaneous
PAR,PAR Technology Corporation Common Stock,31.6,1282676611.0,1071522,Miscellaneous
SLDP,Solid Power Inc. Class A Common Stock,5.42,1035347749.0,5390848,Miscellaneous
MVST,Microvast Holdings Inc. Common Stock,3.01,987830330.0,5199432,Miscellaneous
NRGV,Energy Vault Holdings Inc. Common Stock,5.44,904888708.0,2652933,Miscellaneous
SES,SES AI Corporation Class A Common Stock,2.4,876172224.0,8781971,Miscellaneous
CTLP,Cantaloupe Inc. Common Stock,10.76,792982184.0,708471,Miscellaneous
APPS,Digital Turbine Inc. Common Stock,5.27,591024698.0,1746874,Miscellaneous
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,3.96,381983097.0,138594,Miscellaneous
BYRN,Byrna Technologies Inc. Common Stock,15.91,361562944.0,811110,Miscellaneous
NEOV,NeoVolta Inc. Common Stock,5.8,201479953.0,4817891,Miscellaneous
STEM,Stem Inc. Class A Common Stock,18.75,157316400.0,203713,Miscellaneous
SLDPW,Solid Power Inc. Warrant,0.81,154729092.0,24745,Miscellaneous
JYNT,The Joint Corp. Common Stock,10.05,149405230.0,46733,Miscellaneous
ULBI,Ultralife Corporation Common Stock,6.38,106220282.0,19283,Miscellaneous
VHC,VirnetX Holding Corp Common Stock,22.32,95325149.0,6958,Miscellaneous
NEOVW,NeoVolta Inc. Warrant,2.74,95181909.0,102527,Miscellaneous
BURU,Nuburu Inc. Common Stock,0.1912,83743180.0,53701722,Miscellaneous
STI,Solidion Technology Inc. Common Stock,9.03,67411505.0,150610,Miscellaneous
RMCO,Royalty Management Holding Corporation Class A Common Stock,4.4161,66862995.0,42804,Miscellaneous
ZEO,Zeo Energy Corporation Class A Common Stock,1.0346,59520467.0,20471,Miscellaneous
LASE,Laser Photonics Corporation Common Stock,2.58,57637726.0,1693669,Miscellaneous
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),3.81,46019866.0,829018,Miscellaneous
REFR,Research Frontiers Incorporated Common Stock,1.27,42733241.0,29585,Miscellaneous
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,0.9525,39966860.0,3069113,Miscellaneous
GWH,ESS Tech Inc. Common Stock,1.78,37251480.0,426304,Miscellaneous
MVSTW,Microvast Holdings Inc. Warrants,0.1028,33737195.0,120049,Miscellaneous
FLUX,Flux Power Holdings Inc. Common Stock,1.5,32010203.0,94785,Miscellaneous
NTIP,Network-1 Technologies Inc. Common Stock,1.314,29985035.0,35464,Miscellaneous
XPON,Expion360 Inc. Common Stock,0.912,8806946.0,597203,Miscellaneous
XELB,Xcel Brands Inc. Common Stock,1.56,7498571.0,35731,Miscellaneous
POLA,Polar Power Inc. Common Stock,1.79,4759030.0,614011,Miscellaneous
AMODW,Alpha Modus Holdings Inc. Warrant,0.0594,2492422.0,2942,Miscellaneous
ZEOWW,Zeo Energy Corporation Warrants,0.0416,2393245.0,1006,Miscellaneous
RMCOW,Royalty Management Holding Corporation Warrant,0.145,2195406.0,48040,Miscellaneous
DFLIW,Dragonfly Energy Holdings Corp. Warrant,0.075,905903.0,6971,Miscellaneous
SIMA,SIM Acquisition Corp. I Class A Ordinary Shares,10.63,0.0,3,Miscellaneous
