symbol,name,price,marketCap,volume,industry
V,Visa Inc.,302.55,579688615530.0,4381180,Real Estate
MA,Mastercard Incorporated Common Stock,498.28,444372238325.0,3586864,Real Estate
UBER,Uber Technologies Inc. Common Stock,71.73,146540541183.0,9553073,Real Estate
WELL,Welltower Inc. Common Stock,201.58,140652954997.0,1929982,Real Estate
PLD,Prologis Inc. Common Stock,133.22,124191770657.0,2299503,Real Estate
EQIX,Equinix Inc. Common Stock REIT,1007.29,99342452220.0,423576,Real Estate
AMT,American Tower Corporation (REIT) Common Stock,174.08,81136045466.0,3614916,Real Estate
DLR,Digital Realty Trust Inc. Common Stock,182.42,62682329294.0,1253992,Real Estate
SPG,Simon Property Group Inc. Common Stock,190.57,61906318806.0,882141,Real Estate
O,Realty Income Corporation Common Stock,62.23,58026402954.0,4598005,Real Estate
PSA,Public Storage Common Stock,279.24,49018391362.0,958265,Real Estate
EBAY,eBay Inc. Common Stock,96.01,43012480000.0,3574767,Real Estate
MSCI,MSCI Inc. Common Stock,547.28,40017226340.0,524429,Real Estate
VTR,Ventas Inc. Common Stock,83.64,39767739790.0,2301386,Real Estate
CCI,Crown Castle Inc. Common Stock,84.91,37026740721.0,2171616,Real Estate
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,104.73,31154956504.0,831848,Real Estate
VICI,VICI Properties Inc. Common Stock,27.83,29749963842.0,6118480,Real Estate
FISV,Fiserv Inc. Common Stock,55.32,29485503518.0,5555199,Real Estate
EXR,Extra Space Storage Inc Common Stock,132.95,28078683694.0,1163309,Real Estate
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,24.95,27663828217.0,44295,Real Estate
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,24.66,27342284722.0,34063,Real Estate
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,23.85,26444180480.0,138150,Real Estate
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,23.68,26255689466.0,22206,Real Estate
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,23.63,26200250932.0,15060,Real Estate
FICO,Fair Isaac Corporation Common Stock,1082.08,25669246759.0,195254,Real Estate
FIS,Fidelity National Information Services Inc. Common Stock,46.21,23770594422.0,6362104,Real Estate
AVB,AvalonBay Communities Inc. Common Stock,167.73,23496200926.0,889726,Real Estate
