symbol,name,price,marketCap,volume,industry
NVDA,NVIDIA Corporation Common Stock,196.51,4775193000000.0,160668320,Technology
GOOGL,Alphabet Inc. Class A Common Stock,332.91,4027212270000.0,27603995,Technology
GOOG,Alphabet Inc. Class C Capital Stock,330.58,3999026260000.0,18511628,Technology
AAPL,Apple Inc. Common Stock,258.83,3799919466200.0,48213385,Technology
MSFT,Microsoft Corporation Common Stock,393.11,2919089046066.0,37334352,Technology
AVGO,Broadcom Inc. Common Stock,380.78,1802866951104.0,24122034,Technology
META,Meta Platforms Inc. Class A Common Stock,662.49,1675805199345.0,17696411,Technology
MU,Micron Technology Inc. Common Stock,465.66,525140638189.0,52189116,Technology
ORCL,Oracle Corporation Common Stock,163.0,468795498000.0,59611658,Technology
AMD,Advanced Micro Devices Inc. Common Stock,255.07,415850512360.0,25613544,Technology
LRCX,Lam Research Corporation Common Stock,272.41,340177708110.0,8484092,Technology
GE,GE Aerospace Common Stock,318.0,332255813436.0,3528518,Technology
PLTR,Palantir Technologies Inc. Class A Common Stock,135.7,324414015483.0,52640299,Technology
INTC,Intel Corporation Common Stock,63.81,319900291030.0,112445127,Technology
AMAT,Applied Materials Inc. Common Stock,395.64,313983807780.0,5339729,Technology
KLAC,KLA Corporation Common Stock,1795.91,235401796461.0,869073,Technology
IBM,International Business Machines Corporation Common Stock,240.27,225381526249.0,3772385,Technology
TXN,Texas Instruments Incorporated Common Stock,218.87,199273119324.0,5482004,Technology
NEE,NextEra Energy Inc. Common Stock,91.31,190409003690.0,9369232,Technology
APH,Amphenol Corporation Common Stock,148.72,182840935042.0,8363349,Technology
ADI,Analog Devices Inc. Common Stock,348.6,170187969130.0,2311340,Technology
CRM,Salesforce Inc. Common Stock,171.31,158119130000.0,13095022,Technology
APP,Applovin Corporation Class A Common Stock,433.51,145787001384.0,3196761,Technology
QCOM,QUALCOMM Incorporated Common Stock,132.84,141740280000.0,7575736,Technology
SNDK,Sandisk Corporation Common Stock,944.46,139403214015.0,19751601,Technology
PANW,Palo Alto Networks Inc. Common Stock,161.59,131857440000.0,7404292,Technology
WDC,Western Digital Corporation Common Stock,366.22,124162467795.0,7289593,Technology
DELL,Dell Technologies Inc. Class C Common Stock ,184.51,119147046694.0,6248764,Technology
VRT,Vertiv Holdings LLC Class A Common Stock,310.51,118800649057.0,4988047,Technology
MRVL,Marvell Technology Inc. Common Stock,133.83,117028746928.0,33394414,Technology
INTU,Intuit Inc. Common Stock,366.8,101438540000.0,2481744,Technology
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,398.49,101062678724.0,3172913,Technology
ADBE,Adobe Inc. Common Stock,235.72,95278024000.0,6294356,Technology
NOW,ServiceNow Inc. Common Stock,87.79,90964097666.0,25058159,Technology
EMR,Emerson Electric Company Common Stock,144.56,81242720000.0,1975871,Technology
CDNS,Cadence Design Systems Inc. Common Stock,292.37,80721037921.0,2181799,Technology
SNPS,Synopsys Inc. Common Stock,418.8,80226176908.0,1254819,Technology
MSI,Motorola Solutions Inc. Common Stock,440.08,73142885129.0,749921,Technology
DASH,DoorDash Inc. Class A Common Stock,163.55,71050429870.0,3093442,Technology
MPWR,Monolithic Power Systems Inc. Common Stock,1363.42,66968463560.0,555253,Technology
NET,Cloudflare Inc. Class A Common Stock,178.65,62881280238.0,4823418,Technology
CRWV,CoreWeave Inc. Class A Common Stock,117.2,61610649188.0,46486346,Technology
UI,Ubiquiti Inc. Common Stock,991.66,60016050578.0,139361,Technology
COHR,Coherent Corp. Common Stock,313.42,58760562054.0,4478440,Technology
FTNT,Fortinet Inc. Common Stock,78.7,58231985982.0,5837965,Technology
ADSK,Autodesk Inc. Common Stock,228.59,48232490000.0,1813734,Technology
MSTR,Strategy Inc Common Stock Class A,137.41,47488126092.0,20582025,Technology
SNOW,Snowflake Inc. Common Stock,135.47,46831979000.0,8533048,Technology
RBLX,Roblox Corporation Class A Common Stock,58.3,41317562540.0,7582672,Technology
MCHP,Microchip Technology Incorporated Common Stock,74.5,40314591621.0,7421263,Technology
XYZ,Block Inc. Class A Common Stock,66.15,39630200400.0,5905440,Technology
DDOG,Datadog Inc. Class A Common Stock,110.57,39125341448.0,4155737,Technology
ROP,Roper Technologies Inc. Common Stock,354.0,36239978634.0,999418,Technology
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,64.98,35162982061.0,174022,Technology
STRF,Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock,100.0,34559439700.0,570371,Technology
STRC,Strategy Inc Variable Rate Series A Perpetual Stretch Preferred Stock,100.0,34559439700.0,15737091,Technology
HPE,Hewlett Packard Enterprise Company Common Stock,24.47,32468119558.0,13036439,Technology
JBL,Jabil Inc. Common Stock,305.97,32280637253.0,959035,Technology
OTIS,Otis Worldwide Corporation Common Stock ,81.9,31836231309.0,2598558,Technology
