symbol,name,price,marketCap,volume,industry
BRK/B,Berkshire Hathaway Inc.,490.91,1083100315138.0,5591350,Uncategorized
BRK/A,Berkshire Hathaway Inc.,736000.0,1082563264000.0,259,Uncategorized
GEV,GE Vernova Inc. Common Stock,1057.84,284262759511.0,3284987,Uncategorized
TPGXL,TPG Operating Group II L.P. 6.950% Fixed-Rate Junior Subordinated Notes due 2064,23.2,8463957980.0,15134,Uncategorized
CBC,Central Bancompany Inc. Class A Common Stock,31.68,7595855372.0,491805,Uncategorized
OTF,Blue Owl Technology Finance Corp. Common Stock,10.1,4672686260.0,2390433,Uncategorized
AUGO,Aura Minerals Inc. Common Shares,50.22,4207894779.0,801392,Uncategorized
GEF,Greif Inc. Class A Common Stock,76.32,3521122950.0,175414,Uncategorized
BELFB,Bel Fuse Inc. Class B Common Stock,270.56,3442255606.0,259265,Uncategorized
BELFA,Bel Fuse Inc. Class A Common Stock,228.73,2910064772.0,156905,Uncategorized
NMFCZ,New Mountain Finance Corporation 8.250% Notes due 2028,25.52,2714331725.0,2636,Uncategorized
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,8.01,1888727354.0,2481189,Uncategorized
VSECU,VSE Corporation Tangible Equity Units,52.7,1478611910.0,10780,Uncategorized
DEC,Diversified Energy Company Common Stock,13.36,1025464048.0,587981,Uncategorized
NCDL,Nuveen Churchill Direct Lending Corp. Common Stock,12.69,626721855.0,146714,Uncategorized
WHFCL,WhiteHorse Finance Inc. 7.875% Notes due 2028,25.34,588979850.0,3004,Uncategorized
TMS,Teamshares Inc. Common Stock,6.12,553144639.0,103276,Uncategorized
IMSR,Terrestrial Energy Inc. Common Stock  ,4.625,489950550.0,1958029,Uncategorized
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,25.28,307086044.0,1207,Uncategorized
ALCO,Alico Inc. Common Stock,40.93,303550264.0,14323,Uncategorized
ORBS,Eightco Holdings Inc. Common Stock,0.5773,223999064.0,22668668,Uncategorized
PPHC,Public Policy Holding Company Inc. Common Stock,8.88,223196838.0,98981,Uncategorized
CAMP,CAMP4 Therapeutics Corporation Common Stock,3.71,192644718.0,355554,Uncategorized
PAAC,Proem Acquisition Corp I Ordinary Shares,9.96,144091320.0,24906,Uncategorized
TMSWW,Teamshares Inc. Warrants,1.35,122017200.0,1559,Uncategorized
WSBK,Winchester Bancorp Inc. Common Stock,13.05,121304657.0,7669,Uncategorized
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares,10.32,74768400.0,10189,Uncategorized
VIVK,Vivakor Inc. Common Stock,2.26,20686207.0,2602674,Uncategorized
LSH,Lakeside Holding Limited Common Stock,0.3579,12321623.0,13539,Uncategorized
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,12.0,5535768.0,28424,Uncategorized
MBVI,M3-Brigade Acquisition VI Corp. Class A Ordinary Shares,10.18,0.0,87432,Uncategorized
POLE,Andretti Acquisition Corp. II Class A Ordinary Shares,10.79,0.0,14583,Uncategorized
POLEW,Andretti Acquisition Corp. II Warrant,0.23,0.0,4280,Uncategorized
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,10.88,0.0,17,Uncategorized
IRHO,Iron Horse Acquisitions II Corp. Common Stock,10.025,0.0,24397,Uncategorized
BBCQU,Bleichroeder Acquisition Corp. II Units,11.09,0.0,1,Uncategorized
BBCQW,Bleichroeder Acquisition Corp. II Warrants,1.83,0.0,21300,Uncategorized
FACT,FACT II Acquisition Corp. Class A Ordinary Shares,10.63,0.0,2261,Uncategorized
CCCTU,Columbus Circle Capital Corp III Units,10.03,0.0,23077,Uncategorized
PWRL,Powerlaw Corp. Common Stock,12.38,0.0,143343,Uncategorized
DMAA,Drugs Made In America Acquisition Corp. Ordinary Shares,10.67,0.0,814,Uncategorized
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,10.7,0.0,12,Uncategorized
TVIVU,Texas Ventures Acquisition IV Corp Units,10.08,0.0,5244,Uncategorized
ITHA,ITHAX Acquisition Corp III Class A Ordinary Shares,10.0,0.0,8,Uncategorized
TVIV,Texas Ventures Acquisition IV Corp Class A Ordinary Shares,9.93,0.0,63438,Uncategorized
TVA,Texas Ventures Acquisition III Corp Class A Ordinary Share,10.52,0.0,6952,Uncategorized
TVAI,Thayer Ventures Acquisition Corporation II Class A Ordinary Shares,10.34,0.0,68,Uncategorized
TVACW,Texas Ventures Acquisition III Corp Warrants,0.6,0.0,764,Uncategorized
KRAQW,KRAKacquisition Corp Warrants,0.45,0.0,900,Uncategorized
MBAV,M3-Brigade Acquisition V Corp. Class A Ordinary shares,10.875,0.0,432,Uncategorized
ALIS,Calisa Acquisition Corp Ordinary shares,10.1629,0.0,3302,Uncategorized
MACI,Melar Acquisition Corp. I Class A Ordinary Shares,10.9,0.0,1213,Uncategorized
ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc. Class A Ordinary Shares,9.94,0.0,10,Uncategorized
FIGX,FIGX Capital Acquisition Corp. Class A Ordinary Share,10.25,0.0,706,Uncategorized
QUMS,Quantumsphere Acquisition Corp. Ordinary Shares,10.26,0.0,12665,Uncategorized
INAC,Indigo Acquisition Corp. Ordinary Shares,10.2801,0.0,20706,Uncategorized
PTACU,Patriot Acquisition Corp. Units,10.05,0.0,80,Uncategorized
PTORU,Praetorian Acquisition Corp. Units,10.24,0.0,501,Uncategorized
INACU,Indigo Acquisition Corp. Unit,10.33,0.0,166,Uncategorized
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,10.0,0.0,11,Uncategorized
BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant,0.2692,0.0,16,Uncategorized
BKHAU,Black Hawk Acquisition Corporation Units,12.03,0.0,1342,Uncategorized
RACC,Research Alliance Corporation III Class A Ordinary Shares,11.13,0.0,7656,Uncategorized
RACD,Research Alliance Corporation IV Class A Ordinary Shares,10.4,0.0,3940,Uncategorized
OXLCI,Oxford Lane Capital Corp. 8.75% Notes due 2030,25.525,0.0,396,Uncategorized
KCHV,Kochav Defense Acquisition Corp. Class A Ordinary Shares,10.39,0.0,538,Uncategorized
KCHVU,Kochav Defense Acquisition Corp. Units,10.54,0.0,311,Uncategorized
KFII,K&F Growth Acquisition Corp. II Class A Ordinary shares,10.58,0.0,3503,Uncategorized
KFIIR,K&F Growth Acquisition Corp. II Rights,0.1388,0.0,500,Uncategorized
AACOW,Abony Acquisition Corp. I Warrants,0.4499,0.0,3623,Uncategorized
AACOU,Abony Acquisition Corp. I Units,10.1,0.0,26,Uncategorized
YSAU,Texas Precious Metals Trust Y'all Street Physical Gold ETF,40.255,0.0,3433,Uncategorized
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,11.39,0.0,1637,Uncategorized
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,12.0,0.0,13453,Uncategorized
WENN,Wen Acquisition Corp Class A Ordinary Shares,10.32,0.0,595,Uncategorized
DYNC,Dynamix Corporation Class A Ordinary Shares,10.77,0.0,46239,Uncategorized
DYNCU,Dynamix Corporation Unit,10.8501,0.0,840,Uncategorized
AFJKR,Aimei Health Technology Co. Ltd Right,0.0902,0.0,66439,Uncategorized
MIACU,Meridian3 Industrials Acquisition Corp Units,9.98,0.0,200000,Uncategorized
XCBE,X3 Acquisition Corp. Ltd. Class A Ordinary Shares,9.95,0.0,19072,Uncategorized
LKSPR,Lake Superior Acquisition Corp. Rights,0.9958,0.0,58,Uncategorized
NSLRL,Neostellar Capital Corp. 6.00% Notes due 2026,25.26,0.0,1027,Uncategorized
NTWO,Newbury Street II Acquisition Corp Class A Ordinary Shares,10.74,0.0,308,Uncategorized
GPAC,General Purpose Acquisition Corp. Class A Ordinary Shares,10.01,0.0,108,Uncategorized
GPACU,General Purpose Acquisition Corp. Units,10.15,0.0,400,Uncategorized
GSHR,Gesher Acquisition Corp. II Class A Ordinary Shares,10.48,0.0,8,Uncategorized
GSRF,GSR IV Acquisition Corp. Class A ordinary share,10.17,0.0,25236,Uncategorized
GSRFR,GSR IV Acquisition Corp. Rights,2.16,0.0,319,Uncategorized
GTEN,Gores Holdings X Inc. Class A ordinary shares,10.48,0.0,116,Uncategorized
PGAC,Pantages Capital Acquisition Corporation Class A Ordinary Shares,10.69,0.0,8,Uncategorized
VHCP,Vine Hill Capital Investment Corp. II Class A Ordinary Shares,10.0,0.0,28752,Uncategorized
PLMK,Plum Acquisition Corp. IV Class A Ordinary Shares,10.59,0.0,19495,Uncategorized
PLMKW,Plum Acquisition Corp. IV Warrants,0.4799,0.0,3744,Uncategorized
JABRU,JAB Acquisition Corp I Unit,10.06,0.0,11440,Uncategorized
PACH,Pioneer Acquisition I Corp Class A Ordinary Shares,10.289,0.0,15,Uncategorized
BEAGR,Bold Eagle Acquisition Corp. Right,0.27,0.0,100,Uncategorized
AFJKU,Aimei Health Technology Co. Ltd Unit,17.24,0.0,2007,Uncategorized
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares,10.68,0.0,9360,Uncategorized
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,10.57,0.0,323,Uncategorized
DRDBW,Roman DBDR Acquisition Corp. II Warrants,0.2188,0.0,8,Uncategorized
MSDL,Morgan Stanley Direct Lending Fund Common Stock,15.46,0.0,319577,Uncategorized
JONEU,Jones Ventures INTL Acquisition1 Corp Units,9.93,0.0,1184244,Uncategorized
MCGAW,Yorkville Acquisition Corp. Warrant,0.2497,0.0,98,Uncategorized
MCN,XAI Madison Equity Premium Income Fund Common Shares,5.59,0.0,47818,Uncategorized
MESH,Meshflow Acquisition Corp. Class A Ordinary Shares,10.01,0.0,14208,Uncategorized
MESHU,Meshflow Acquisition Corp. Units,10.1,0.0,1001,Uncategorized
MESHW,Meshflow Acquisition Corp. Warrants,0.38,0.0,22954,Uncategorized
METCI,Ramaco Resources Inc. 8.250% Senior Notes due 2030,25.15,0.0,1671,Uncategorized
AESPU,Aeon Acquisition I Corp. Units,10.11,0.0,1050,Uncategorized
EURK,Eureka Acquisition Corp Class A Ordinary Share,12.49,0.0,16,Uncategorized
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,18.62,0.0,29522,Uncategorized
CEPV,Cantor Equity Partners V Inc. Class A Ordinary Shares,10.45,0.0,8,Uncategorized
LKSP,Lake Superior Acquisition Corp. Class A Ordinary Shares,10.16,0.0,238,Uncategorized
ARCI,Archimedes Tech SPAC Partners III Co. Ordinary Share,10.09,0.0,208,Uncategorized
ARCIW,Archimedes Tech SPAC Partners III Co. Warrant,0.6172,0.0,1901,Uncategorized
PCSC,Perceptive Capital Solutions Corp Class A Ordinary Shares,11.9,0.0,40170,Uncategorized
SABA,Saba Capital Income & Opportunities Fund II Shares of Beneficial Interest,8.34,0.0,24024,Uncategorized
HLXC,Helix Acquisition Corp. III Class A Ordinary Shares,10.58,0.0,12580,Uncategorized
SCII,SC II Acquisition Corp. Class A ordinary share,10.09,0.0,7,Uncategorized
SCIIR,SC II Acquisition Corp. Rights,0.1801,0.0,5,Uncategorized
SCPQ,Social Commerce Partners Corporation Class A Ordinary Shares,10.0,0.0,9,Uncategorized
SCPQU,Social Commerce Partners Corporation Unit,10.29,0.0,100,Uncategorized
HACQU,HCM IV Acquisition Corp. Unit,10.17,0.0,62,Uncategorized
HCIC,Hennessy Capital Investment Corp. VIII Class A Ordinary Shares,9.97,0.0,8,Uncategorized
HCICU,Hennessy Capital Investment Corp. VIII Units,10.1301,0.0,50,Uncategorized
NOEM,CO2 Energy Transition Corp. Common Stock,10.58,0.0,1305,Uncategorized
NOEMR,CO2 Energy Transition Corp. Right,0.17,0.0,8000,Uncategorized
NOEMW,CO2 Energy Transition Corp. Warrant,0.16,0.0,209743,Uncategorized
LPAA,Launch One Acquisition Corp. Class A Ordinary shares,10.88,0.0,308,Uncategorized
LPBB,Launch Two Acquisition Corp. Class A Ordinary Shares,10.74,0.0,308206,Uncategorized
LPCV,Launchpad Cadenza Acquisition Corp I Class A Ordinary Share,9.99,0.0,6,Uncategorized
BPAC,Blueport Acquisition Ltd Class A Ordinary Shares,10.14,0.0,32,Uncategorized
GHXIU,Gores Holdings XI Inc. Units,10.22,0.0,356,Uncategorized
GIW,GigCapital8 Corp. Class A Ordinary Shares,10.0851,0.0,11743,Uncategorized
GIWWR,GigCapital8 Corp. Rights,0.2745,0.0,81,Uncategorized
ADAC,American Drive Acquisition Company Class A Ordinary Shares,10.02,0.0,2158,Uncategorized
CCII,Cohen Circle Acquisition Corp. II Class A Ordinary Shares,10.38,0.0,614,Uncategorized
CAPN,Cayson Acquisition Corp Ordinary shares,11.1,0.0,7,Uncategorized
CAQ,Cambridge Acquisition Corp. Class A Ordinary Shares,9.93,0.0,6,Uncategorized
CAQUW,Cambridge Acquisition Corp. Warrants,0.35,0.0,8126,Uncategorized
MKLY,McKinley Acquisition Corporation Class A Ordinary Shares,10.19,0.0,5715,Uncategorized
DTSQR,DT Cloud Star Acquisition Corporation Right,0.12,0.0,616,Uncategorized
YSAG,Texas Precious Metals Trust Y'all Street Physical Silver ETF,56.225,0.0,257,Uncategorized
ECCU,Eagle Point Credit Company 7.75% Notes due 2030,25.1501,0.0,6006,Uncategorized
SPEG,Silver Pegasus Acquisition Corp Class A Ordinary Shares,10.305,0.0,20607,Uncategorized
SPEGU,Silver Pegasus Acquisition Corp Unit,10.6,0.0,19,Uncategorized
SPKL,Spark I Acquisition Corp. Class A Ordinary Share,12.12,0.0,38220,Uncategorized
SPKLU,Spark I Acquisition Corp. Unit,12.83,0.0,52,Uncategorized
SPKLW,Spark I Acquisition Corp. Warrant,1.6,0.0,34580,Uncategorized
SPEGR,Silver Pegasus Acquisition Corp Rights.,0.265,0.0,73,Uncategorized
AACBR,Artius II Acquisition Inc. Rights,0.18,0.0,1377,Uncategorized
AACO,Abony Acquisition Corp. I Class A Ordinary Share,9.98,0.0,93,Uncategorized
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,10.54,0.0,27090,Uncategorized
LGI,Lazard Global Total Return and Income Fund Common Stock,18.29,0.0,36020,Uncategorized
SHOT,RMG ML Sports Holdings Class A Ordinary Shares,9.825,0.0,43587,Uncategorized
SHOTU,RMG ML Sports Holdings Unit,9.995,0.0,87321,Uncategorized
GPAT,GP-Act III Acquisition Corp. Class A Ordinary Share,11.01,0.0,8,Uncategorized
ARTCU,Art Technology Acquisition Corp. Units,10.28,0.0,10,Uncategorized
SOCA,Solarius Capital Acquisition Corp. Class A Ordinary Share,10.28,0.0,107,Uncategorized
ATII,Archimedes Tech SPAC Partners II Co. Ordinary Shares,10.71,0.0,193234,Uncategorized
SHOTR,RMG ML Sports Holdings Rights,0.1763,0.0,160502,Uncategorized
BLRK,Bluerock Acquisition Corp. Class A Ordinary Shares,10.03,0.0,2414,Uncategorized
KVAC,Keen Vision Acquisition Corporation Ordinary Shares,12.34,0.0,10,Uncategorized
KVACW,Keen Vision Acquisition Corporation Warrant,0.022,0.0,150,Uncategorized
CGCFU,Cartesian Growth Corporation IV Unit,9.97,0.0,3975,Uncategorized
IDAC,Iron Dome Acquisition I Corp. Class A Ordinary Shares,9.99,0.0,1024,Uncategorized
IDACW,Iron Dome Acquisition I Corp. Warrant,0.45,0.0,1,Uncategorized
CHPGR,ChampionsGate Acquisition Corporation Rights,0.14,0.0,15,Uncategorized
FWACU,Futurewave Acquisition Corporation Units,10.05,0.0,4905,Uncategorized
TLNC,Talon Capital Corp. Class A Ordinary Shares,10.28,0.0,123,Uncategorized
TLNCW,Talon Capital Corp. Warrants,0.7651,0.0,1,Uncategorized
TMTS,Spartacus Acquisition Corp. II Class A Ordinary Shares,10.06,0.0,9,Uncategorized
FVAV,Fortress Value Acquisition Corp. V Class A Ordinary Shares,10.11,0.0,6,Uncategorized
