symbol,name,price,marketCap,volume,industry
SO,Southern Company (The) Common Stock,95.12,107325781754.0,4678556,Utilities
DUK,Duke Energy Corporation (Holding Company) Common Stock,125.77,98049816212.0,4257858,Utilities
WM,Waste Management Inc. Common Stock,224.08,89985094508.0,1572313,Utilities
WMB,Williams Companies Inc. (The) Common Stock,72.77,88997583744.0,8557496,Utilities
CEG,Constellation Energy Corporation Common Stock ,236.5,85421449900.0,8689499,Utilities
EPD,Enterprise Products Partners L.P. Common Stock,36.52,79011687257.0,1864366,Utilities
AEP,American Electric Power Company Inc. Common Stock,135.05,73481384572.0,4974853,Utilities
KMI,Kinder Morgan Inc. Common Stock,31.72,70571473012.0,8380379,Utilities
RSG,Republic Services Inc. Common Stock,214.71,66058556120.0,1277319,Utilities
ET,Energy Transfer LP Common Units ,19.05,65554084227.0,7330638,Utilities
CIEN,Ciena Corporation Common Stock,462.44,65459733250.0,2044711,Utilities
SRE,DBA Sempra Common Stock,91.37,59729245229.0,3620237,Utilities
D,Dominion Energy Inc. Common Stock,67.79,59618281769.0,6184043,Utilities
TRGP,Targa Resources Inc. Common Stock,257.81,55337344632.0,1600679,Utilities
OKE,ONEOK Inc. Common Stock,85.73,54022540203.0,3177474,Utilities
ETR,Entergy Corporation Common Stock,112.86,51677109552.0,3763811,Utilities
VST,Vistra Corp. Common Stock,153.16,51642866799.0,5090076,Utilities
LNG,Cheniere Energy Inc. Common Stock,243.92,51113891643.0,1894332,Utilities
XEL,Xcel Energy Inc. Common Stock,79.7,49754283932.0,5842464,Utilities
EXC,Exelon Corporation Common Stock,46.26,47333608649.0,10056844,Utilities
PCG,Pacific Gas & Electric Co. Common Stock,16.57,44407075029.0,16489890,Utilities
ED,Consolidated Edison Inc. Common Stock,110.95,40888370770.0,1907166,Utilities
PEG,Public Service Enterprise Group Incorporated Common Stock,80.27,40000258939.0,3461265,Utilities
WEC,WEC Energy Group Inc. Common Stock,116.22,37855838297.0,1582350,Utilities
PPLC,PPL Corporation Corporate Units,48.19,36255763945.0,106956,Utilities
DTE,DTE Energy Company Common Stock,150.57,31322823088.0,1626091,Utilities
AEE,Ameren Corporation Common Stock,112.19,31048763799.0,3000344,Utilities
NRG,NRG Energy Inc. Common Stock,140.8,29706894976.0,3426941,Utilities
CQP,Cheniere Energy Partners LP Common Units,60.66,29362723101.0,92969,Utilities
ATO,Atmos Energy Corporation Common Stock,173.03,28882136801.0,1143109,Utilities
FTS,Fortis Inc. Common Shares,56.65,28842384167.0,665863,Utilities
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,43.73,28606831360.0,6609797,Utilities
EIX,Edison International Common Stock,73.5,28282354664.0,1970901,Utilities
VG,Venture Global Inc. Class A common stock,11.03,27402469071.0,8452040,Utilities
FE,FirstEnergy Corp. Common Stock,47.07,27226755407.0,3345181,Utilities
ES,Eversource Energy (D/B/A) Common Stock,72.2,27152977805.0,2790879,Utilities
PPL,PPL Corporation Common Stock,35.62,26798719894.0,8594985,Utilities
AWK,American Water Works Company Inc. Common Stock,131.79,25736019863.0,2462181,Utilities
CMS,CMS Energy Corporation Common Stock,75.92,23453176184.0,4382725,Utilities
SOJC,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077,20.5,22550971844.0,60274,Utilities
NI,NiSource Inc Common Stock,46.87,22366154444.0,5120040,Utilities
SOJD,Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080,19.29,21219914481.0,77534,Utilities
EVRG,Evergy Inc. Common Stock,86.19,19867917625.0,2209540,Utilities
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,25.5,19584637526.0,11869,Utilities
LNT,Alliant Energy Corporation Common Stock,75.79,19574816634.0,2220851,Utilities
